Series;Time;Value
ai-enthusiasts;2020-02-01T16:17:30+05:30;null
ai-enthusiasts;2020-02-01T16:18:00+05:30;null
ai-enthusiasts;2020-02-01T16:18:30+05:30;null
ai-enthusiasts;2020-02-01T16:19:00+05:30;null
ai-enthusiasts;2020-02-01T16:19:30+05:30;null
ai-enthusiasts;2020-02-01T16:20:00+05:30;null
ai-enthusiasts;2020-02-01T16:20:30+05:30;null
ai-enthusiasts;2020-02-01T16:21:00+05:30;null
ai-enthusiasts;2020-02-01T16:21:30+05:30;null
ai-enthusiasts;2020-02-01T16:22:00+05:30;null
ai-enthusiasts;2020-02-01T16:22:30+05:30;null
ai-enthusiasts;2020-02-01T16:23:00+05:30;null
ai-enthusiasts;2020-02-01T16:23:30+05:30;null
ai-enthusiasts;2020-02-01T16:24:00+05:30;null
ai-enthusiasts;2020-02-01T16:24:30+05:30;null
ai-enthusiasts;2020-02-01T16:25:00+05:30;null
ai-enthusiasts;2020-02-01T16:25:30+05:30;null
ai-enthusiasts;2020-02-01T16:26:00+05:30;null
ai-enthusiasts;2020-02-01T16:26:30+05:30;null
ai-enthusiasts;2020-02-01T16:27:00+05:30;null
ai-enthusiasts;2020-02-01T16:27:30+05:30;null
ai-enthusiasts;2020-02-01T16:28:00+05:30;null
ai-enthusiasts;2020-02-01T16:28:30+05:30;null
ai-enthusiasts;2020-02-01T16:29:00+05:30;null
ai-enthusiasts;2020-02-01T16:29:30+05:30;null
ai-enthusiasts;2020-02-01T16:30:00+05:30;null
ai-enthusiasts;2020-02-01T16:30:30+05:30;null
ai-enthusiasts;2020-02-01T16:31:00+05:30;null
ai-enthusiasts;2020-02-01T16:31:30+05:30;null
ai-enthusiasts;2020-02-01T16:32:00+05:30;null
ai-enthusiasts;2020-02-01T16:32:30+05:30;null
ai-enthusiasts;2020-02-01T16:33:00+05:30;null
ai-enthusiasts;2020-02-01T16:33:30+05:30;null
ai-enthusiasts;2020-02-01T16:34:00+05:30;null
ai-enthusiasts;2020-02-01T16:34:30+05:30;null
ai-enthusiasts;2020-02-01T16:35:00+05:30;null
ai-enthusiasts;2020-02-01T16:35:30+05:30;null
ai-enthusiasts;2020-02-01T16:36:00+05:30;null
ai-enthusiasts;2020-02-01T16:36:30+05:30;null
ai-enthusiasts;2020-02-01T16:37:00+05:30;null
ai-enthusiasts;2020-02-01T16:37:30+05:30;null
ai-enthusiasts;2020-02-01T16:38:00+05:30;null
ai-enthusiasts;2020-02-01T16:38:30+05:30;null
ai-enthusiasts;2020-02-01T16:39:00+05:30;null
ai-enthusiasts;2020-02-01T16:39:30+05:30;null
ai-enthusiasts;2020-02-01T16:40:00+05:30;null
ai-enthusiasts;2020-02-01T16:40:30+05:30;null
ai-enthusiasts;2020-02-01T16:41:00+05:30;null
ai-enthusiasts;2020-02-01T16:41:30+05:30;null
